,power sensor (delta),power sensor (theta),power sensor (alpha),power sensor (beta),power sensor (gamma),power source (delta),power source (theta),power source (alpha),power source (beta),power source (gamma),wpli source (delta),wpli source (theta),wpli source (alpha),wpli source (beta),wpli source (gamma),correlation source (delta),correlation source (theta),correlation source (alpha),correlation source (beta),correlation source (gamma),correlation sensor (delta),correlation sensor (theta),correlation sensor (alpha),correlation sensor (beta),correlation sensor (gamma),wpli sensor (delta),wpli sensor (theta),wpli sensor (alpha),wpli sensor (beta),wpli sensor (gamma)
61,0.01,0.1,0.01,1.0,1.0,10.0,0.1,1.0,0.1,1.0,0.01,0.001,0.01,0.001,0.001,0.1,0.001,0.001,1.0,0.01,1.0,0.01,0.001,0.001,0.001,0.001,1.0,1.0,0.001,1.0
62,10.0,1.0,0.1,1.0,10.0,0.01,1.0,1.0,0.1,0.1,0.001,0.001,0.001,0.001,0.001,0.1,0.01,0.001,0.001,0.001,1.0,0.01,0.001,0.001,0.001,0.001,0.001,0.001,1.0,1.0
63,1.0,0.01,1.0,1.0,0.001,1.0,1.0,10.0,10.0,0.01,1.0,0.01,0.001,0.001,0.01,0.01,0.1,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.001,1.0,0.001,0.01,0.001,1.0
64,10.0,1.0,0.1,1.0,10.0,10.0,10.0,10.0,1.0,10.0,0.001,0.01,0.01,0.1,0.001,0.1,0.1,0.01,0.01,0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.001,0.01,1.0,1.0
65,0.001,10.0,1.0,1.0,10.0,10.0,10.0,1.0,0.01,0.1,0.001,0.01,0.01,10.0,0.001,0.1,0.1,0.001,0.001,10.0,1.0,0.001,0.001,0.001,0.001,1.0,0.001,1.0,0.01,0.001
66,0.001,0.1,0.1,10.0,1.0,10.0,1.0,10.0,10.0,10.0,0.1,0.001,0.001,0.001,0.001,0.01,1.0,0.001,0.001,0.1,1.0,1.0,1.0,0.001,0.001,1.0,0.01,0.001,1.0,1.0
67,0.001,0.1,0.1,10.0,1.0,10.0,10.0,10.0,1.0,1.0,0.01,0.001,0.001,10.0,0.001,1.0,0.01,0.001,0.01,0.001,0.001,1.0,0.01,1.0,0.001,1.0,0.01,1.0,1.0,1.0
68,1.0,0.001,0.001,10.0,10.0,10.0,10.0,0.1,10.0,0.1,0.01,0.01,0.01,1.0,0.1,0.1,0.001,0.001,0.001,0.01,0.001,1.0,0.001,0.01,0.001,1.0,0.001,0.01,0.01,0.01
69,0.001,0.001,0.01,1.0,10.0,10.0,1.0,1.0,10.0,10.0,0.001,0.001,1.0,0.001,0.01,0.01,0.01,0.001,0.001,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.01,0.001,1.0
70,1.0,0.1,0.1,0.001,10.0,10.0,10.0,10.0,1.0,10.0,0.001,0.01,0.1,0.001,0.001,0.1,0.1,0.001,0.01,0.001,0.001,0.001,0.001,1.0,0.001,1.0,0.001,1.0,1.0,1.0
71,0.1,0.001,1.0,10.0,10.0,10.0,10.0,1.0,10.0,1.0,0.1,0.001,0.001,0.001,0.01,0.01,0.1,0.01,0.1,0.1,0.001,0.01,0.01,1.0,0.001,0.001,0.01,0.01,0.01,0.01
72,0.1,1.0,1.0,0.001,1.0,10.0,10.0,0.001,0.1,0.1,0.01,0.01,0.001,0.01,10.0,1.0,0.1,0.001,0.001,0.01,0.001,0.001,0.001,0.01,0.001,0.001,0.001,0.001,0.001,1.0
73,0.001,0.1,0.01,1.0,1.0,1.0,10.0,1.0,10.0,0.1,0.01,0.001,0.01,0.01,0.01,0.1,0.1,0.001,0.01,0.001,1.0,1.0,0.01,1.0,0.001,1.0,0.001,0.001,0.001,0.01
74,10.0,0.1,0.01,1.0,10.0,10.0,10.0,0.01,10.0,10.0,1.0,0.01,10.0,0.001,0.001,0.1,0.1,0.001,0.001,0.1,1.0,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.001,1.0
75,1.0,0.001,0.1,10.0,0.01,0.1,1.0,1.0,0.1,10.0,0.001,0.001,0.1,0.1,0.001,0.01,0.1,0.001,0.01,0.001,0.001,1.0,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.01
76,10.0,0.1,0.01,10.0,0.001,0.001,1.0,0.01,10.0,0.1,10.0,0.001,0.1,0.001,0.001,0.01,0.1,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.001,1.0,0.001,0.001,0.001,1.0
77,10.0,0.1,10.0,1.0,10.0,0.1,10.0,1.0,0.1,10.0,0.001,0.01,0.001,1.0,0.001,0.01,0.1,1.0,0.01,0.1,1.0,0.001,0.001,0.01,0.001,0.001,0.001,0.01,0.01,1.0
78,0.01,0.1,0.1,1.0,10.0,10.0,10.0,10.0,10.0,0.001,0.01,0.01,0.001,10.0,0.001,0.1,0.1,0.001,0.01,0.1,0.001,0.01,0.001,0.001,0.001,0.001,1.0,0.01,1.0,1.0
